level,soc,occupation,employment,annual_mean_wage,annual_median_wage
detail,31-9011,Massage Therapists,,69010,60560
detail,31-9091,Dental Assistants,1390,52340,47940
detail,31-9092,Medical Assistants,8100,46340,46110
detail,31-9093,Medical Equipment Preparers,1490,56720,55800
detail,31-9094,Medical Transcriptionists,530,36180,35780
detail,31-9095,Pharmacy Aides,40,42270,41310
detail,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,320,49490,48680
detail,31-9097,Phlebotomists,1780,47710,48400
detail,31-9099,"Healthcare Support Workers, All Other",,49770,49130
major,33-0000,Protective Service Occupations,,38910,35950
detail,33-1091,First-Line Supervisors of Security Workers,,46750,43220
detail,33-1099,"First-Line Supervisors of Protective Service Workers, All Other",,60670,58220
detail,33-9021,Private Detectives and Investigators,,67010,58640
detail,33-9032,Security Guards,,38300,36780
detail,33-9091,Crossing Guards and Flaggers,5750,38890,35620
detail,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",,34160,34930
detail,33-9094,School Bus Monitors,,33170,34430
detail,33-9099,"Protective Service Workers, All Other",4820,37560,35050
major,35-0000,Food Preparation and Serving Related Occupations,60960,38710,36210
detail,35-1011,Chefs and Head Cooks,310,64100,59280
detail,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,1900,54310,55150
detail,35-2011,"Cooks, Fast Food",540,34260,34290
detail,35-2012,"Cooks, Institution and Cafeteria",4860,37490,35370
detail,35-2014,"Cooks, Restaurant",4580,42660,39930
detail,35-2015,"Cooks, Short Order",360,41580,38470
detail,35-2019,"Cooks, All Other",690,41330,42960
detail,35-2021,Food Preparation Workers,6550,36020,35360
detail,35-3011,Bartenders,2000,43330,43260
detail,35-3023,Fast Food and Counter Workers,4640,34220,32900
detail,35-3031,Waiters and Waitresses,11210,41630,38210
detail,35-3041,"Food Servers, Nonrestaurant",7030,37950,34490
detail,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,5370,34570,33940
detail,35-9021,Dishwashers,7620,34850,34660
detail,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",300,35600,35710
detail,35-9099,"Food Preparation and Serving Related Workers, All Other",3000,40090,39240
major,37-0000,Building and Grounds Cleaning and Maintenance Occupations,94860,36340,35490
detail,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,1360,46940,43450
detail,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",200,57680,64020
detail,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",47730,36260,35560
detail,37-2012,Maids and Housekeeping Cleaners,32830,35560,34630
detail,37-2019,"Building Cleaning Workers, All Other",100,35930,34040
detail,37-2021,Pest Control Workers,90,38410,37270
detail,37-3011,Landscaping and Groundskeeping Workers,12060,37230,36460
detail,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",100,34830,27040
detail,37-3013,Tree Trimmers and Pruners,260,37120,32170
detail,37-3019,"Grounds Maintenance Workers, All Other",,33950,30020
major,39-0000,Personal Care and Service Occupations,23260,37790,34380
detail,39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",220,50920,48470
detail,39-1022,First-Line Supervisors of Personal Service Workers,190,50020,36770
detail,39-2021,Animal Caretakers,500,34990,33230
detail,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",8030,36030,33650
detail,39-3091,Amusement and Recreation Attendants,3510,34730,34400
detail,39-3092,Costume Attendants,60,83460,80360
detail,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",240,38590,34740
detail,39-3099,"Entertainment Attendants and Related Workers, All Other",,29690,25720
detail,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",,56200,44630
detail,39-5091,"Makeup Artists, Theatrical and Performance",60,135800,131530
detail,39-5094,Skincare Specialists,,58140,59980
detail,39-6011,Baggage Porters and Bellhops,380,36500,38380
detail,39-6012,Concierges,2150,44400,44950
detail,39-9011,Childcare Workers,4330,34680,35100
detail,39-9031,Exercise Trainers and Group Fitness Instructors,240,80160,78370
detail,39-9032,Recreation Workers,1850,33980,31870
detail,39-9041,Residential Advisors,210,47120,45760
detail,39-9099,"Personal Care and Service Workers, All Other",110,35900,31150
major,41-0000,Sales and Related Occupations,62740,58360,50940
detail,41-1011,First-Line Supervisors of Retail Sales Workers,530,56000,53450
detail,41-1012,First-Line Supervisors of Non-Retail Sales Workers,460,90340,77350
detail,41-2011,Cashiers,4380,33620,33000
detail,41-2021,Counter and Rental Clerks,2540,37170,38310
detail,41-2022,Parts Salespersons,380,39800,38540
detail,41-2031,Retail Salespersons,10300,40730,37440
detail,41-3011,Advertising Sales Agents,,62660,52850
detail,41-3021,Insurance Sales Agents,,58950,54590
detail,41-3031,"Securities, Commodities, and Financial Services Sales Agents",,79080,72140
detail,41-3041,Travel Agents,110,70080,62400
detail,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",26550,72480,62600
detail,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",670,96660,83790
